Respondent id number,Region of interview,Rs religious preference,Was r's work part-time or full-time?,Sexual orientation,Rs income in constant $,Hispanic specified,Race of household,Ballot used for interview,R's socioeconomic index (2010),Rs family income when 16 yrs old,Race of respondent,Respondents sex,Number of hours worked last week,R self-emp or works for somebody,Marital status,Number of children,Age of respondent,Highest year of school completed,"Highest year school completed, father","Highest year school completed, mother","Highest year school completed, spouse",Total family income
140,New england,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,25.1,Average,White,Male,Not applicable,Someone else,Widowed,1,62,12,8,12,Not applicable,$60000 to 74999
141,New england,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,82.5,Average,White,Female,Not applicable,Someone else,Married,3,62,16,10,12,14,$90000 to $109999
142,New england,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot c,42.9,Below average,White,Female,Not applicable,Someone else,Married,5,65,14,12,14,16,Refused
143,New england,Catholic,Full-time,Not applicable,0,Not hispanic,White,Ballot a,67.7,Below average,White,Male,43,Self-employed,Married,2,60,14,12,12,15,Don't know
144,New england,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,61.2,Average,White,Female,Not applicable,Someone else,Divorced,1,47,16,Not applicable,14,Not applicable,$1 000 to 2 999
145,New england,None,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,45.4,Average,White,Male,40,Someone else,Divorced,0,62,14,12,13,Not applicable,$60000 to 74999
146,Pacific,Jewish,Full-time,Heterosexual or straight,65520,Not hispanic,White,Ballot b,67.7,Average,White,Female,40,Someone else,Married,2,51,16,16,14,18,$170000 or over
147,Pacific,None,Part-time,Heterosexual or straight,164382.0376,Not hispanic,White,Ballot c,78.3,Above average,White,Female,45,Someone else,Married,2,43,16,19,16,16,$170000 or over
148,Pacific,Buddhism,Full-time,Heterosexual or straight,164382.0376,Not hispanic,"Asiatic, oriental",Ballot b,43,Far below average,Other,Male,60,Someone else,Married,2,47,14,6,6,4,$170000 or over
149,Pacific,Christian,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,67.7,Average,White,Female,40,Someone else,Divorced,1,57,12,14,12,Not applicable,$60000 to 74999
150,Pacific,None,Full-time,Not applicable,17550,Not hispanic,White,Ballot a,59.1,Above average,White,Male,30,Self-employed,Never married,0,30,16,18,18,Not applicable,$35000 to 39999
151,Pacific,Protestant,Full-time,Heterosexual or straight,21060,Not hispanic,White,Ballot c,52.3,Average,White,Male,60,Self-employed,Married,0,39,18,20,17,20,$170000 or over
152,Pacific,None,Part-time,Not applicable,15210,Not hispanic,White,Ballot b,61.4,Average,White,Female,40,Someone else,Never married,0,37,15,14,14,Not applicable,$40000 to 49999
153,Pacific,Catholic,Part-time,Not applicable,0,Not hispanic,White,Ballot c,55.3,Average,Other,Female,10,Someone else,Married,0,52,12,Don't know,Don't know,12,Refused
154,Pacific,Catholic,Full-time,Not applicable,8775,"Mexican, mexican american, chicano/a",White,Ballot a,82.5,Below average,Other,Female,45,Someone else,Never married,0,61,18,12,12,Not applicable,$17500 to 19999
155,Pacific,None,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot c,31.1,Average,White,Male,30,Someone else,Married,1,58,12,12,12,8,$75000 to $89999
156,Pacific,Catholic,Part-time,Not applicable,0,Argentinian,White,Ballot a,19.6,Average,White,Male,35,Someone else,Never married,0,31,14,16,14,Not applicable,$5 000 to 5 999
157,Pacific,Buddhism,Part-time,Heterosexual or straight,11115,Not hispanic,"Asiatic, oriental",Ballot c,61.4,Below average,Other,Female,20,Self-employed,Married,2,52,16,8,0,12,$40000 to 49999
158,Pacific,Catholic,Not applicable,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot a,-1,Far below average,White,Female,Not applicable,Not applicable,Married,2,46,16,7,2,16,$40000 to 49999
159,Pacific,Protestant,Full-time,Heterosexual or straight,21060,"Mexican, mexican american, chicano/a",White,Ballot b,65.3,Above average,White,Female,40,Someone else,Married,1,25,13,6,14,12,$110000 to $129999
160,Pacific,Catholic,Full-time,Not applicable,31590,"Mexican, mexican american, chicano/a",White,Ballot a,31.2,Above average,Other,Male,42,Someone else,Widowed,4,54,12,Don't know,Don't know,Not applicable,$90000 to $109999
161,Pacific,Catholic,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot b,46.6,Average,Other,Female,40,Someone else,Divorced,1,33,15,14,12,Not applicable,$50000 to 59999
162,Pacific,Hinduism,Full-time,Not applicable,0,Not hispanic,"Asiatic, oriental",Ballot a,77,Far below average,Other,Male,45,Someone else,Married,1,33,18,15,12,18,$75000 to $89999
163,Pacific,Catholic,Part-time,Heterosexual or straight,6435,Not hispanic,White,Ballot c,19.6,Below average,White,Female,16,Someone else,Divorced,2,61,12,Not applicable,6,Not applicable,$12500 to 14999
164,Pacific,Catholic,Not applicable,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot a,13.2,No answer,White,Female,Not applicable,Someone else,Widowed,4,65,No answer,3,2,Not applicable,Refused
165,Pacific,Catholic,Full-time,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot b,14.8,Far below average,White,Female,40,Someone else,Never married,0,53,12,4,0,Not applicable,Don't know
166,Pacific,Protestant,Not applicable,Not applicable,0,Not hispanic,"Other, mixed",Ballot a,-1,Below average,Other,Female,Not applicable,Not applicable,Widowed,Eight or more,66,11,Don't know,Don't know,Not applicable,Don't know
167,Pacific,None,Not applicable,Heterosexual or straight,0,"Mexican, mexican american, chicano/a",White,Ballot c,28.6,Average,White,Female,Not applicable,Someone else,Never married,2,41,12,Don't know,13,Not applicable,$7 000 to 7 999
168,Pacific,None,Part-time,Heterosexual or straight,936,Not hispanic,White,Ballot b,73.6,Average,White,Female,Not applicable,Self-employed,Divorced,2,57,13,12,12,Not applicable,$75000 to $89999
169,Pacific,Protestant,Full-time,"Gay, lesbian, or homosexual",38610,Not hispanic,Black,Ballot c,28.5,Average,Black,Male,40,Self-employed,Never married,0,50,12,9,12,Not applicable,$75000 to $89999
170,Pacific,None,Not applicable,Not applicable,0,Not hispanic,Black,Ballot c,38.3,Below average,Black,Male,Not applicable,Someone else,Married,4,75,14,9,Don't know,12,Don't know
171,Pacific,None,Full-time,Bisexual,0,Not hispanic,Black,Ballot b,21.6,Above average,Black,Female,60,Someone else,Never married,3,22,11,12,12,Not applicable,$22500 to 24999
172,Pacific,None,Full-time,Heterosexual or straight,8775,Not hispanic,White,Ballot c,41,Above average,White,Male,60,Someone else,Never married,0,27,14,14,16,Not applicable,$17500 to 19999
173,Pacific,None,Not applicable,Heterosexual or straight,0,"Mexican, mexican american, chicano/a",White,Ballot b,43.8,Average,White,Female,20,Someone else,Separated,1,20,12,12,5,Not applicable,Under $1 000
174,Pacific,None,Full-time,Heterosexual or straight,46800,Not hispanic,White,Ballot c,33.4,Average,White,Male,40,Someone else,Divorced,0,55,20,16,12,Not applicable,$90000 to $109999
175,Pacific,None,Full-time,Heterosexual or straight,0,Peruvian,White,Ballot b,65.3,Below average,White,Female,Not applicable,Someone else,Never married,1,49,14,14,6,Not applicable,$30000 to 34999
176,Pacific,Catholic,Full-time,Not applicable,31590,"Mexican, mexican american, chicano/a",White,Ballot a,52,Far below average,Other,Female,40,Someone else,Divorced,1,51,14,12,12,Not applicable,$60000 to 74999
177,Pacific,Catholic,Full-time,Not applicable,38610,Not hispanic,White,Ballot a,59.1,Average,White,Male,20,Someone else,Separated,5,56,16,14,12,Not applicable,$130000 to $149999
178,Pacific,Inter-nondenominational,Not applicable,Heterosexual or straight,0,Not hispanic,"Asiatic, oriental",Ballot c,43,Don't know,Other,Female,Not applicable,Someone else,Married,1,41,18,15,15,18,$170000 or over
179,Pacific,Catholic,Part-time,Heterosexual or straight,21060,"Mexican, mexican american, chicano/a",White,Ballot c,59.4,Average,White,Male,16,Someone else,Divorced,4,67,14,12,12,Not applicable,$40000 to 49999
180,Pacific,None,Not applicable,Not applicable,2574,Not hispanic,Black,Ballot a,29.4,Far below average,Black,Female,10,Someone else,Never married,4,38,12,Not applicable,12,Not applicable,$10000 to 12499
181,Pacific,Catholic,Not applicable,Heterosexual or straight,17550,Not hispanic,"Asiatic, oriental",Ballot c,84.2,Average,Other,Female,Not applicable,Someone else,Widowed,1,76,16,12,15,Not applicable,$35000 to 39999
182,Pacific,None,Not applicable,Not applicable,0,Not hispanic,"Other, mixed",Ballot a,20.7,Average,Black,Male,Not applicable,Someone else,Divorced,1,66,14,Not applicable,12,Not applicable,$15000 to 17499
183,Pacific,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,"Asiatic, oriental",Ballot c,38.3,Below average,Other,Female,Not applicable,Someone else,Never married,0,84,17,12,12,Not applicable,$10000 to 12499
184,Pacific,None,Full-time,Heterosexual or straight,0,Not hispanic,Black,Ballot b,-1,Average,Black,Male,Not applicable,Not applicable,Never married,0,32,12,Not applicable,12,Not applicable,$8 000 to 9 999
185,Pacific,Protestant,Full-time,Not applicable,2106,Not hispanic,Black,Ballot c,20.9,Far below average,Black,Male,40,Someone else,Never married,2,46,16,Not applicable,14,Not applicable,$10000 to 12499
186,Pacific,None,Not applicable,Heterosexual or straight,0,Not hispanic,"Asiatic, oriental",Ballot b,39.7,Below average,Other,Male,Not applicable,Someone else,Never married,0,25,13,Not applicable,12,Not applicable,Don't know
187,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,Don't know,Ballot c,77.4,Above average,White,Male,Not applicable,Someone else,Married,1,67,18,12,12,10,$60000 to 74999
188,Pacific,Protestant,Full-time,Not applicable,21060,Not hispanic,Black,Ballot a,80.2,Average,Black,Male,47,Someone else,Married,2,34,12,12,12,12,$75000 to $89999
189,Pacific,Protestant,Not applicable,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot a,-1,Below average,Other,Female,Not applicable,Not applicable,Married,3,29,8,12,6,10,Under $1 000
190,Pacific,Catholic,Full-time,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot b,26.5,Below average,White,Female,Not applicable,Someone else,Never married,7,51,1,0,0,Not applicable,$15000 to 17499
191,Pacific,Catholic,Full-time,Heterosexual or straight,7605,Salvadorian,White,Ballot c,38.8,Average,Other,Female,Not applicable,Someone else,Never married,1,39,14,12,12,Not applicable,$20000 to 22499
192,Pacific,Catholic,Full-time,Heterosexual or straight,8775,"Mexican, mexican american, chicano/a",White,Ballot b,12.4,Far below average,Other,Female,40,Someone else,Never married,2,39,9,Not applicable,0,Not applicable,$17500 to 19999
193,Pacific,Catholic,Full-time,Heterosexual or straight,7605,Guatemalan,White,Ballot c,12.6,Far below average,White,Female,15,Someone else,Divorced,3,51,2,0,0,Not applicable,$25000 to 29999
194,Pacific,Catholic,Full-time,Not applicable,11115,"Mexican, mexican american, chicano/a",White,Ballot a,39.6,Far above average,Other,Female,40,Self-employed,Married,3,40,8,Not applicable,6,8,$60000 to 74999
195,Pacific,Catholic,Part-time,Not applicable,8775,Salvadorian,"Other, mixed",Ballot a,25.2,Average,White,Male,40,Someone else,Never married,4,32,9,Don't know,12,Not applicable,$22500 to 24999
196,Pacific,Catholic,Full-time,Heterosexual or straight,25740,"Mexican, mexican american, chicano/a",White,Ballot b,35.8,Average,White,Male,40,Someone else,Married,1,38,14,Not applicable,6,16,$50000 to 59999
197,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,21.6,Average,White,Female,Not applicable,Someone else,Never married,0,79,13,6,8,Not applicable,$22500 to 24999
198,Pacific,Protestant,Full-time,Not applicable,46800,Not hispanic,"Other, mixed",Ballot a,64.5,Below average,Other,Male,40,Someone else,Never married,0,49,16,18,18,Not applicable,$130000 to $149999
199,Pacific,None,Part-time,Not applicable,1638,"Mexican, mexican american, chicano/a",White,Ballot a,13.6,Average,White,Male,25,Someone else,Never married,0,22,15,13,13,Not applicable,$75000 to $89999
200,Pacific,Protestant,Full-time,Not applicable,46800,Not hispanic,Black,Ballot a,69.3,Average,Black,Male,40,Someone else,Married,0,30,16,11,15,18,$90000 to $109999
201,Pacific,None,Full-time,Not applicable,164382.0376,Not hispanic,White,Ballot a,67.7,Average,White,Male,60,Someone else,Married,2,47,15,12,14,14,$170000 or over
202,Pacific,Catholic,Full-time,Heterosexual or straight,46800,"Mexican, mexican american, chicano/a",White,Ballot b,28.7,Below average,White,Male,35,Self-employed,Separated,1,55,12,Not applicable,0,Not applicable,$90000 to $109999
203,Pacific,None,Full-time,Heterosexual or straight,38610,Puerto rican,White,Ballot b,39.7,Above average,White,Male,75,Someone else,Never married,0,30,16,13,12,Not applicable,$75000 to $89999
204,Pacific,None,Full-time,Heterosexual or straight,25740,Not hispanic,Black,Ballot b,60.3,Average,Black,Male,45,Someone else,Never married,0,29,16,Not applicable,16,Not applicable,$110000 to $129999
205,Pacific,None,Full-time,Heterosexual or straight,3042,Not hispanic,White,Ballot c,73.6,Average,White,Male,60,Someone else,Never married,0,37,16,16,12,Not applicable,$60000 to 74999
206,Pacific,Jewish,Part-time,Heterosexual or straight,9945,Not hispanic,White,Ballot b,67.7,Average,White,Female,10,Self-employed,Never married,0,67,20,14,20,Not applicable,$20000 to 22499
207,Pacific,Catholic,Full-time,Not applicable,21060,Salvadorian,White,Ballot a,76.3,Above average,Other,Female,40,Someone else,Separated,0,38,16,12,15,Not applicable,$130000 to $149999
208,Pacific,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,24.6,Below average,White,Female,Not applicable,Someone else,Widowed,0,81,11,12,12,Not applicable,Don't know
209,Pacific,None,Part-time,Heterosexual or straight,2106,Not hispanic,Black,Ballot b,27,Above average,Black,Male,12,Someone else,Separated,0,35,14,Not applicable,12,Not applicable,$20000 to 22499
210,Pacific,Orthodox-christian,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,69.3,Far above average,White,Male,Not applicable,Someone else,Married,1,46,20,17,17,20,$170000 or over
211,Pacific,Protestant,Full-time,Heterosexual or straight,56160,Not hispanic,"Other, mixed",Ballot b,69.3,Below average,White,Male,55,Someone else,Divorced,2,37,12,12,12,Not applicable,$150000 to $169999
212,Pacific,Protestant,Full-time,Not applicable,0,Guatemalan,White,Ballot a,-1,Above average,Other,Male,Not applicable,Not applicable,Never married,0,21,15,5,6,Not applicable,$60000 to 74999
213,Pacific,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,66.1,Above average,White,Male,6,Someone else,Married,1,43,12,12,12,16,Don't know
214,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,61.4,Above average,White,Female,Not applicable,Someone else,Married,2,45,16,18,12,18,$170000 or over
215,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,"Other, mixed",Ballot b,71.7,Below average,White,Female,Not applicable,Someone else,Divorced,1,76,19,8,17,Not applicable,$40000 to 49999
216,Pacific,Protestant,Not applicable,Heterosexual or straight,15210,Not hispanic,White,Ballot c,32,Average,White,Male,Not applicable,Someone else,Married,Eight or more,77,12,8,8,13,$60000 to 74999
217,Pacific,Catholic,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot b,35.8,Average,White,Female,40,Someone else,Never married,1,61,16,Not applicable,12,Not applicable,$50000 to 59999
218,Pacific,Catholic,Full-time,Not applicable,11115,Latino/a,"Other, mixed",Ballot a,32,Below average,White,Female,50,Someone else,Never married,2,45,12,6,6,Not applicable,$40000 to 49999
219,Pacific,Protestant,Full-time,Not applicable,38610,Not hispanic,White,Ballot a,46,Above average,White,Male,45,Someone else,Divorced,4,47,13,16,16,Not applicable,$75000 to $89999
220,Pacific,Catholic,Full-time,Heterosexual or straight,56160,"Mexican, mexican american, chicano/a",White,Ballot c,85.2,Below average,White,Male,40,Someone else,Married,1,41,16,12,7,14,$170000 or over
221,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Hispanic,White,Ballot b,20.1,Average,Black,Female,Not applicable,Don't know,Never married,0,19,12,12,13,Not applicable,Don't know
222,Pacific,Catholic,Full-time,No answer,9945,"Mexican, mexican american, chicano/a","Other, mixed",Ballot c,13.2,Below average,Other,Male,42,Someone else,Married,3,50,6,6,6,6,$60000 to 74999
223,Pacific,None,Full-time,Heterosexual or straight,11115,Not hispanic,"Asiatic, oriental",Ballot c,53,Average,Other,Male,50,Someone else,Never married,0,25,17,12,12,Not applicable,$75000 to $89999
